trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count
17.14.11,WE WANT,CaseyNeistat,22,2017-11-13T17:13:01.000Z,SHANtell martin,748374,57527,2966,15954
17.14.11,The Trump Presidency,LastWeekTonight,24,2017-11-13T07:30:00.000Z,"last week tonight trump presidency|""last week tonight donald trump""|""john oliver trump""|""donald trump""",2418783,97185,6146,12703
17.14.11,"Racist Superman, King Bach & Lele Pons",Rudy Mancuso,23,2017-11-12T19:05:24.000Z,"racist superman|""rudy""|""mancuso""|""king""|""bach""|""racist""|""superman""|""love""|""rudy mancuso poo bear black white official music video""|""iphone x by pineapple""|""lelepons""|""hannahstocking""|""rudymancuso""|""inanna""|""anwar""|""sarkis""|""shots""|""shotsstudios""|""alesso""|""anitta""|""brazil""|""Getting My Driver's License | Lele Pons""",3191434,146033,5339,8181
17.14.11,Nickelback Lyrics,24,2017-11-13T11:00:04.000Z,"rhett and link|""gmm""|""good mythical morning""|""rhett and link good mythical morning""|""good mythical morning rhett and link""|""mythical morning""|""Season 12""|""nickelback lyrics""|""nickelback lyrics real or fake""|""nickelback""|""nickelback songs""|""nickelback song""|""rhett link nickelback""|""gmm nickelback""|""lyrics (website category)""|""nickelback (musical group)""|""rock""|""music""|""lyrics""|""chad kroeger""|""canada""|""music (industry)""|""mythical""|""gmm challenge""|""comedy""|""funny""|""challenge""",343168,10172,666,2146
17.14.11,I Dare You,nigahiga,24,2017-11-12T18:01:41.000Z,"ryan|""higa""|""higatv""|""nigahiga""|""i dare you""|""idy""|""rhpc""|""dares""|""no truth""|""comments""|""comedy""|""funny""|""stupid""|""fail""",2095731,132235,1989,17518
17.14.11,2 Weeks,iJustine,28,2017-11-13T19:07:23.000Z,"ijustine|""week with iPhone X""|""iphone x""|""apple""|""iphone""|""iphone x review""|""iphone x unboxing""",119180,9763,511,1434
17.14.11,Roy Moore & Jeff Sessions ,24,2017-11-12T05:37:17.000Z,"SNL|""Saturday Night Live""|""SNL Season 43""|""Episode 1730""|""Tiffany Haddish""|""Roy Moore""|""Mikey Day""|""Mike Pence""|""Beck Bennett""|""Jeff Sessions""|""Kate McKinnon""|""s43""|""s43e5""|""episode 5""|""live""|""new york""|""comedy""|""sketch""|""funny""|""hilarious""|""late night""|""host""|""music""|""guest""|""laugh""|""impersonation""|""actor""|""improv""|""musician""|""comedian""|""actress""|""If Loving You Is Wrong""|""Oprah Winfrey""|""OWN""|""Girls Trip""|""The Carmichael Show""|""Keanu""|""Taylor Swift""|""Reputation""|""Look What You Made Me Do""|""ready for it?""|""cold open""",2103417,15993,2445,1970
17.14.11,put to the Test,CrazyRussianHacker,28,2017-11-12T21:50:37.000Z,"5 Ice Cream Gadgets|""Ice Cream""|""Cream Sandwich Maker""|""gadgets""|""gadget review""|""review""|""unboxing""|""kitchen gadgets""|""Gadgets put to the Test""|""testing""|""10 Kitchen Gadgets""|""7 Camping Coffee Gadgets""|""10 Kitchen Gadgets put to the Test""",817732,23663,778,3432
17.14.11,The Showman | Official Trailer 2 [HD] | 20th Century FOX,20th Century Fox,1,2017-11-13T14:00:23.000Z,"Trailer|""Hugh Jackman""|""Michelle Williams""|""Zac Efron""|""Zendaya""|""Rebecca Ferguson""|""pasek and paul""|""la la land""|""moulin rouge""|""high school musical""|""hugh jackman musical""|""zac efron musical""|""musical""|""the greatest showman""|""greatest showman""|""Michael Gracey""|""P.T. Barnum""|""Barnum and Bailey""|""Barnum Circus""|""Barnum and Bailey Circus""|""20th century fox""|""greatest showman trailer""|""trailer""|""official trailer""|""the greatest showman trailer""|""logan""|""Benj Pasek""|""Justin Paul""",826059,3543,119,340
17.14.11,Why robots wonâ€™t mean the end of work,Vox,25,2017-11-13T13:45:16.000Z,"vox.com|""vox""|""explain""|""shift change""|""future of work""|""automation""|""robots""|""jobs""|""technological unemployment""|""joss fong""|""heidi shierholz""|""martin ford""|""rise of the robots""|""humans""|""workers""|""employment""|""economics""|""macroeconomics""|""silicon valley""|""basic income""",256426,12654,1363,2368
17.14.11,Dions. DenverFL Wk 10 Highlights,NFL,17,2017-11-13T02:05:26.000Z,"NFL|""Football""|""offense""|""defense""|""afc""|""nfc""|""American Football""|""highlight""|""highlights""|""game""|""games""|""sport""|""sports""|""action""|""play""|""plays""|""season""|""2017""|""rookie""|""rookies""|""recap""|""run""|""sprint""|""catch""|""huge""|""amazing""|""touchdown""|""td""|""week 9""|""wk 9""|""new england""|""patriots""|""pats""|""denver""|""broncos""|""lewis""|""kickoff""|""kick return""|""return td""|""special teams""|""sp:dt=2017-11-12T20:30:00-05:00""|""sp:vl=en-US""|""sp:st=football""|""sp:li=nfl""|""sp:ti:home=Den""|""sp:ti:away=NE""|""sp:scp=athlete_in_match""|""sp:ty=high""|""nfl-lewdio""",81377,655,25,177
17.14.11,The Walking Dead,amc,24,2017-11-13T03:00:00.000Z,"The Walking Dead|""shiva""|""tiger""|""king ezekiel""|""episode 804""|""episode 4""|""some guy""|""sad""|""zombies""|""all out war""|""war""|""walkers""|""the kingdom""|""the saviors""|""Rick""|""Rick Grimes""|""Negan""|""Ezekiel""|""Daryl""|""Michonne""|""Morgan""|""Carl""|""Dwight""|""Jeffrey Dean Morgan""|""Andrew Lincoln""|""Norman Reedus""|""Danai Gurira""|""Lennie James""|""robert kirkman""|""scott m. gimple""|""apocalypse""|""season""|""season 8""|""alexandria""|""AMC""|""tv""|""tv show""|""television""|""11/12_TWD""|""Featured""",104578,1576,303,1279
17.14.11,Marshmello,marshmello,10,2017-11-13T17:00:00.000Z,"marshmello|""blocks""|""marshmello blocks""|""blocks music video""|""marshmello music video""|""roblox bully story""|""marshmello alone""|""roblox""|""cuphead""|""marshmello nightcore""|""marshmello musically""|""music for kids""|""happy music""|""videos that make you happy""|""sad songs""|""childrens music""|""joytime""|""marshmello joytime""|""frat bro""|""band""|""high school""|""crush""|""mellogang""",687582,114188,1333,8371
17.14.11,Which ,NowThis World,25,2017-11-12T14:00:00.000Z,"nowthis|""nowthis world""|""world news""|""nowthis news""|""international news""|""countries""|""collapse""|""failing countries""|""war in the world""|""fragile states""|""the fragile states index""|""fund for peace""|""social""|""economic""|""political""|""which countries are failing""|""Central African Republic""|""CAR""|""countries that are sinking""|""countries that are dying""|""countries that are going to disappear""|""Somalia""|""colonization""|""dictatorship""|""south sudan""",544770,7848,1171,3981
17.14.11,SHOPPING FOR NEW FISH!!!,The king of DIY,15,2017-11-12T18:30:01.000Z,"shopping for new fish|""new fish""|""aquarium fish""|""aquarium""|""uarujoey""|""king of diy""|""aquarium gallery""|""the king of diy""|""fish tank""|""fish (animal)""|""diy king""|""arowana""|""flower horn""|""fish""",207532,7473,246,2120
17.14.11,The New SpotMini,BostonDynamics,28,2017-11-13T20:09:58.000Z,"Robots|""Boston Dynamics""|""SpotMini""|""Legged Locomotion""|""Dynamic robot""",75752,9419,52,1230
17.14.11,One Change a Classic,Cracked,23,2017-11-12T17:00:05.000Z,"pacific rim|""pacific rim 2""|""pacific rim sequel""|""Guillermo del Toro""|""Cracked""|""cracked.com""|""sketch""|""comedy""|""funny""|""spoof""|""laugh""|""satire""|""parody""|""hilarious""|""spoofs""|""josh sargent""|""fix a movie""|""how to fix""|""charlie day""|""idris elba""|""fighting robots""|""fight scenes""|""pacific rim problems""|""pacific rim epic""|""pacific rim comic con""|""pacific rim characters""|""pacific rim robots""|""pacific rim machines""|""mako mori""|""fan theory""|""headcanon""|""how it should have ended""",295639,8011,638,1256
17.14.11,How - Hilary Coller,TED-Ed,27,2017-11-13T16:00:07.000Z,"TED|""TED-Ed""|""TED Education""|""TED Ed""|""Hilary Coller""|""Sashko Danylenko""|""hunger""|""fullness""|""appetite""|""food""|""stomach""|""digestion""|""vagus nerve""|""hypothalamus""|""hormones""|""endocrine cells""|""digestive system""|""intestine""|""ghrelin""|""insulin""|""leptin""|""water""|""fiber""|""protein""",78044,5398,53,385
17.14.11,HomeMade Electric Airplane,PeterSripol,28,2017-11-13T15:30:17.000Z,"ultralight|""airplane""|""homemade""|""DIY""|""hoverbike""|""part 103""|""ultra light""|""aircraft""|""aviation""|""do it yourself""|""basement""|""petersripol""|""peter sripol""|""biplane""|""flitetest""|""flite test""|""electric vehicle""|""electric""",97007,11963,36,2211
